code;experience;age;ranking;default_prin;default_int;default_both1;default;wpcentral;wpcity;wpcompany;wpother;wpdirector;wpmanager;wpspecialist;wpothers;cash;home100;liveparent;rent;newcustomer;notran;notran3;income2;spending2
10300629;48;26;AA;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;5.7;10.7
20564087;30;26;A;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;6;14
20071578;32;26;AA;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;7;9
20194783;24;26;A;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;6;16
20523484;60;27;A;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;3.2;20
20556380;72;27;A;1;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;4.5;17.5
20344126;60;27;AA;1;1;1;1;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;10;10
20482906;60;27;A;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;2.9;10.9
20832300;14;27;BBB;1;1;1;1;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;4.58;8
20670580;48;28;BBB;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;5;3.5
20512639;33;28;A;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;6;30
10135390;60;28;AAA;1;0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;7.5;24.5
20463439;84;28;AA;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;6.2;11.2
10203711;60;28;AA;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;5;9.5
20515580;60;28;A;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;4;13
20636479;48;28;BBB;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;2.5;12
20114462;36;28;BBB;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;5;1
20260979;74;29;A;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;7.5;14
10815043;49;29;A;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;3;15
20476720;163;29;A;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;4;9
20191925;60;29;A;1;1;1;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;4.5;10
20881431;61;29;A;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;4.5;10
20761056;57;29;BBB;1;1;1;1;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;6.4;8.9
20514069;96;30;AA;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;6.4;15
20076510;18;30;A;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;6;5
20517702;72;30;AA;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;5.6;30
20024573;50;30;A;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;1;0;0;5;3
20862613;80;30;A;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;16.5;20
20158336;84;31;AA;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;10.1;12.4
20158344;91;31;A;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;9;8
20795099;48;31;A;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;6;4.5
20209553;126;31;AAA;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;15;15
20800377;120;33;A;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;6;5
20034722;156;35;A;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;6.5;10
20579678;120;35;A;1;1;1;1;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;10;25
20564976;108;35;A;1;1;1;1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;4.5;12.5
20508732;120;36;A;1;1;1;1;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;4;24
